distance_m,lat,lon,elev_dem_m,delta_elev_m,grade_raw,grade_smoothed,grade_raw_pct,grade_smoothed_pct
16600,-12.46388752,130.9608137,23.33435138,3.493456411,0.034934564,0.021901058,3.493456411,2.190105817
16700,-12.46402173,130.9617229,26.82780779,2.795244682,0.027952447,0.02296808,2.795244682,2.296808003
16800,-12.46409777,130.9626394,29.62305247,1.971050076,0.019710501,0.023978292,1.971050076,2.397829213
16900,-12.46412295,130.9635587,31.59410255,1.331565682,0.013315657,0.015274593,1.331565682,1.527459269
17000,-12.46409443,130.9644779,32.92566823,0.011976638,0.000119766,0.008653503,0.011976638,0.865350307
17100,-12.46401548,130.9653942,32.93764487,0.146808832,0.001468088,0.00588629,0.146808832,0.588629002
17200,-12.46392443,130.9663094,33.0844537,0.864164857,0.008641649,0.002920613,0.864164857,0.292061349
17300,-12.46384344,130.9672255,33.94861856,0.145295069,0.001452951,-0.000468802,0.145295069,-0.046880239
17400,-12.46378091,130.968143,34.09391363,-1.343789716,-0.013437897,-0.006290147,-1.343789716,-0.629014711
17500,-12.46377101,130.9690627,32.75012391,-2.181729055,-0.021817291,-0.017941324,-2.181729055,-1.794132404
17600,-12.46380589,130.9699816,30.56839486,-3.796305915,-0.037963059,-0.020333948,-3.796305915,-2.033394773
17700,-12.46389143,130.9708971,26.77208894,-0.811754407,-0.008117544,-0.017201915,-0.811754407,-1.720191487
17800,-12.46401163,130.9718087,25.96033453,-0.090976569,-0.000909766,-0.010967691,-0.090976569,-1.096769081
17900,-12.46413838,130.9727195,25.86935797,0.311960569,0.003119606,0.001599175,0.311960569,0.159917527
18000,-12.46427484,130.9736288,26.18131853,1.230440516,0.012304405,0.011116494,1.230440516,1.11164945
18100,-12.46447402,130.9745255,27.41175905,2.995173283,0.029951733,0.016775244,2.995173283,1.677524427
18200,-12.46475286,130.9754001,30.40693233,2.17252334,0.021725233,0.01522409,2.17252334,1.522409021
18300,-12.4651058,130.9762467,32.57945567,-0.308501057,-0.003085011,0.009392003,-0.308501057,0.939200307
18400,-12.46553543,130.9770557,32.27095462,-1.102394339,-0.011023943,0.001083984,-1.102394339,0.108398445
18500,-12.46602406,130.9778295,31.16856028,-0.328034165,-0.003280342,-0.002405386,-0.328034165,-0.240538641
18600,-12.46651956,130.9785988,30.84052611,0.776774996,0.00776775,0.000247628,0.776774996,0.024762753
18700,-12.46701714,130.9793668,31.61730111,0.752704523,0.007527045,0.004721371,0.752704523,0.472137104
18800,-12.46751286,130.980136,32.37000563,0.687103064,0.006871031,0.004662126,0.687103064,0.46621263
18900,-12.46801134,130.980903,33.05710869,-0.351732062,-0.003517321,0.005219905,-0.351732062,0.521990507
19000,-12.46850233,130.9816753,32.70537663,0.999886504,0.009998865,0.005090803,0.999886504,0.509080287
19100,-12.46892597,130.9824874,33.70526314,0.70106364,0.007010636,0.007369248,0.70106364,0.736924804
19200,-12.4692906,130.9833289,34.40632678,1.598481133,0.015984811,0.007534639,1.598481133,0.753463856
19300,-12.46956836,130.9842042,36.00480791,-0.285575853,-0.002855759,0.008574783,-0.285575853,0.857478327
19400,-12.46972203,130.9851104,35.71923206,1.415944387,0.014159444,0.008340026,1.415944387,0.83400257
19500,-12.46979643,130.986027,37.13517644,0.607160613,0.006071606,0.003256648,0.607160613,0.32566482
19600,-12.46997112,130.9869294,37.74233706,-0.434869867,-0.004348699,0.004701396,-0.434869867,0.470139575
19700,-12.4701645,130.9878279,37.30746719,0.292323167,0.002923232,0.004075075,0.292323167,0.407507464
19800,-12.47052854,130.98863,37.59979036,1.165415943,0.011654159,0.004230591,1.165415943,0.423059091
19900,-12.47074337,130.9895226,38.7652063,0.669367119,0.006693671,0.007758169,0.669367119,0.77581689
20000,-12.47091951,130.9904248,39.43457342,0.976161329,0.009761613,0.010373829,0.976161329,1.03738294
20100,-12.47111698,130.9913224,40.41073475,1.338587367,0.013385874,0.006984333,1.338587367,0.698433316
20200,-12.4713329,130.9922154,41.74932212,-0.190382549,-0.001903825,0.009346841,-0.190382549,0.934684099
20300,-12.47158654,130.993098,41.55893957,1.61437025,0.016143702,0.008819813,1.61437025,0.88198125
20400,-12.47191503,130.9939543,43.17330982,0.765349934,0.007653499,0.009684091,0.765349934,0.96840907
20500,-12.4722912,130.9947905,43.93865975,1.684298647,0.016842986,0.009326696,1.684298647,0.932669608
20600,-12.4727093,130.9956059,45.6229584,-0.333340399,-0.003333404,0.005480362,-0.333340399,0.548036163
20700,-12.47318692,130.9963867,45.289618,0.07583647,0.000758365,0.005044825,0.07583647,0.504482457
20800,-12.47370867,130.9971379,45.36545447,0.59113511,0.005911351,-0.004586986,0.59113511,-0.45869858
20900,-12.47425041,130.9978741,45.95658958,-2.1684255,-0.021684255,-0.009003177,-2.1684255,-0.90031772
21000,-12.47485961,130.9985524,43.78816408,-2.099816961,-0.02099817,-0.019080799,-2.099816961,-1.908079941
21100,-12.47551272,130.9991874,41.68834712,-3.955212413,-0.039552124,-0.030944143,-3.955212413,-3.094414334
21200,-12.47619077,130.9997957,37.7331347,-4.154202462,-0.041542025,-0.028226681,-4.154202462,-2.822668078
21300,-12.47686751,131.0004055,33.57893224,-1.081440474,-0.010814405,-0.024033424,-1.081440474,-2.40334238
21400,-12.47752949,131.0010319,32.49749177,-0.422514171,-0.004225142,-0.017558447,-0.422514171,-1.755844675
21500,-12.47819148,131.0016583,32.0749776,-1.365221592,-0.013652216,-0.006489146,-1.365221592,-0.648914569
21600,-12.47885346,131.0022847,30.70975601,0.27351796,0.00273518,0.001362143,0.27351796,0.136214278
21700,-12.47951544,131.0029111,30.98327397,2.059074914,0.020590749,0.008551268,2.059074914,0.855126785
21800,-12.48017742,131.0035376,33.04234888,2.453135857,0.024531359,0.009148582,2.453135857,0.914858179
21900,-12.48083646,131.0041672,35.49548474,-1.126296015,-0.01126296,0.000963666,-1.126296015,0.096366618
22000,-12.48145956,131.004833,34.36918872,-3.000448283,-0.030004483,-0.011232905,-3.000448283,-1.123290505
22100,-12.48206012,131.0055202,31.36874044,-2.819553581,-0.028195536,-0.020627744,-2.819553581,-2.062774434
22200,-12.48263242,131.0062322,28.54918686,-1.304799858,-0.013047999,-0.021627717,-1.304799858,-2.162771702
22300,-12.48319309,131.0069538,27.244387,-1.526285086,-0.015262851,-0.009852493,-1.526285086,-0.985249277
22400,-12.48376156,131.0076684,25.71810191,1.709641418,0.017096414,0.007565675,1.709641418,0.756567528
22500,-12.4843962,131.0083233,27.42774333,4.147713638,0.041477136,0.021333627,4.147713638,2.133362666
22600,-12.48508141,131.0089192,31.57545697,4.202380695,0.042023807,0.029096529,4.202380695,2.909652935
22700,-12.48581876,131.0094511,35.77783767,1.57887599,0.01578876,0.030006122,1.57887599,3.000612164
22800,-12.48659574,131.0099212,37.35671366,2.073478333,0.020734783,0.023483493,2.073478333,2.348349331
22900,-12.48739044,131.0103562,39.43019199,1.538662308,0.015386623,0.013872284,1.538662308,1.387228406
23000,-12.48822708,131.0107036,40.9688543,0.357896993,0.00357897,0.012817905,0.357896993,1.28179055
23100,-12.48909229,131.0109628,41.32675129,1.157124565,0.011571246,0.005423913,1.157124565,0.542391267
23200,-12.489975,131.011161,42.48387585,-0.884118797,-0.008841188,0.005156824,-0.884118797,0.515682448
23300,-12.49085861,131.011355,41.59975706,1.43182703,0.01431827,0.003354805,1.43182703,0.335480501
23400,-12.49174358,131.0115423,43.03158409,-0.362910794,-0.003629108,0.003837293,-0.362910794,0.383729291
23500,-12.49263076,131.0117187,42.66867329,1.350119724,0.013501197,0.006620397,1.350119724,0.662039722
23600,-12.49351104,131.0119266,44.01879302,0.229122926,0.002291229,0.000521127,0.229122926,0.052112744
23700,-12.49436164,131.012237,44.24791594,-1.007880882,-0.010078809,0.002237307,-1.007880882,0.223730696
23800,-12.49518805,131.0126093,43.24003506,0.323561018,0.00323561,0.000349918,0.323561018,0.034991831
23900,-12.49598138,131.01305,43.56359608,0.595164263,0.005951643,0.001909595,0.595164263,0.190959481
24000,-12.49676702,131.013505,44.15876034,0.852993526,0.008529935,0.003421466,0.852993526,0.342146633
24100,-12.4975538,131.013958,45.01175387,-0.403132272,-0.004031323,0.003185672,-0.403132272,0.31856719
24200,-12.49834076,131.0144106,44.6086216,0.229243244,0.002292432,0.002382469,0.229243244,0.238246932
24300,-12.49912722,131.0148641,44.83786484,0.27388323,0.002738832,-0.002855394,0.27388323,-0.285539437
24400,-12.49991367,131.0153177,45.11174807,-1.242151951,-0.01242152,0.000936597,-1.242151951,0.09365968
24500,-12.50070037,131.0157708,43.86959612,1.113664197,0.011136642,-0.000772186,1.113664197,-0.077218639
24600,-12.50148706,131.016224,44.98326032,-0.454270032,-0.0045427,-0.003410362,-0.454270032,-0.341036157
24700,-12.5022737,131.0166772,44.52899028,-0.781386843,-0.007813868,-0.007041825,-0.781386843,-0.704182542
24800,-12.50306033,131.0171304,43.74760344,-2.694737489,-0.026947375,-0.014578401,-2.694737489,-1.45784007
24900,-12.50384696,131.0175837,41.05286595,-1.900965916,-0.019009659,-0.013830641,-1.900965916,-1.383064106
25000,-12.50463359,131.0180369,39.15190004,-0.155166177,-0.001551662,-0.014807987,-0.155166177,-1.480798699
25100,-12.50542033,131.01849,38.99673386,-1.172325214,-0.011723252,-0.009981369,-1.172325214,-0.998136949
25200,-12.50620819,131.018941,37.82440865,-0.764090488,-0.007640905,-0.002485991,-0.764090488,-0.248599144
