dist_km,elev_m,slope_pct,headwind_ms
26.0,23.30734825,-0.19685413769353774,0.0
26.1,21.0976172,-0.2302197070300397,0.0
26.2,18.80490315,-0.23666542694107875,0.0
26.3,18.31800126,-0.16901459699447516,0.0
26.4,20.72762362,-0.06445224559454062,0.0
26.5,22.99154513,0.014066057451827874,0.0
26.6,26.84802087,0.08121237642056352,0.0
26.7,30.89295116,0.15549324330104924,0.0
26.8,34.010637,0.1999898395059887,0.0
26.9,36.22708799,0.22826084384617504,0.0
27.0,38.20092786,0.24019737356948384,0.0
27.1,39.52451938,0.24432810242737493,0.0
27.2,39.94993282,0.25723702383405395,0.0
27.3,40.21530542,0.29112198294900793,0.0
27.4,40.6317248,0.3312807091455284,0.0
27.5,41.197717,0.3439635698430465,0.0
27.6,41.71209236,0.3679260571146376,0.0
27.7,43.40553504,0.41764938507187144,0.0
27.8,43.83156902,0.47217263031838286,0.0
27.9,44.03163083,0.5126747742469917,0.0
28.0,44.81502136,0.5469669812426361,0.0
28.1,45.57767316,0.5793174171056568,0.0
28.2,45.27001011,0.5912876036029815,0.0
28.3,45.71725993,0.6218386319701068,0.0
28.4,45.7258593,0.6655991118985839,0.0
28.5,45.67463807,0.6850835219813348,0.0
28.6,45.74914168,0.67691717764853,0.0
28.7,46.45458344,0.6505702501738683,0.0
28.8,47.44922209,0.6459745935693406,0.0
28.9,48.0506401,0.6447087737869879,0.0
29.0,49.31725583,0.629718364499189,0.0
29.1,49.73265236,0.6312904781482386,0.0
29.2,49.60622066,0.6240516228451924,0.0
29.3,49.43587518,0.5786495433803964,0.0
29.4,49.1591235,0.49622650482119185,0.0
29.5,49.28287415,0.3799342693155609,0.0
29.6,49.09550168,0.2683266833113549,0.0
29.7,48.04691635,0.1869783685753987,0.0
29.8,47.51500915,0.09358338043507786,0.0
29.9,47.05980053,-0.027160767336144434,0.0
30.0,45.86661363,-0.1310402204938413,0.0
30.1,44.87448621,-0.18812268582342806,0.0
30.2,44.90483889,-0.21480362629960156,0.0
30.3,45.23195743,-0.21682451355849253,0.0
30.4,45.74876424,-0.1841670279549817,0.0
30.5,47.32505348,-0.14304398779878227,0.0
30.6,47.91345638,-0.11270101232573704,0.0
30.7,47.71258964,-0.09118831245522188,0.0
30.8,48.51495366,-0.07323028772357532,0.0
30.9,48.6876315,-0.0712715351346759,0.0
31.0,48.44069703,-0.08537662626786187,0.0
31.1,47.68218782,-0.09666425603431333,0.0
31.2,47.50806674,-0.0997041577798143,0.0
31.3,47.07747691,-0.0959226836819795,0.0
31.4,46.77172237,-0.08731339812350997,0.0
31.5,47.16142754,-0.10998577475517948,0.0
31.6,47.30467423,-0.17249775715553933,0.0
31.7,46.68366166,-0.23519813284381713,0.0
31.8,46.27794125,-0.27197306219130724,0.0
31.9,45.87194162,-0.2923077136803386,0.0
32.0,45.37047666,-0.308558441320281,0.0
32.1,44.83233792,-0.3328403261663919,0.0
32.2,44.14884956,-0.364084974430736,0.0
32.3,43.56903795,-0.36734641869249723,0.0
32.4,43.14078669,-0.3238759476771466,0.0
32.5,42.99473613,-0.2825199989135882,0.0
32.6,42.77876089,-0.2566398275667496,0.0
32.7,42.8454123,-0.23194032277906163,0.0
32.8,42.53958739,-0.25904240888974733,0.0
32.9,41.94184352,-0.3005074029128621,0.0
33.0,42.8549394,-0.3263638994764165,0.0
33.1,41.75514281,-0.3558068257138558,0.0
33.2,42.21865862,-0.3795619324706877,0.0
33.3,42.19674228,-0.40145420737006665,0.0
33.4,42.12563993,-0.4289984352195328,0.0
33.5,42.12588315,-0.450816537017505,0.0
33.6,42.2197659,-0.4587432583815598,0.0
33.7,41.92794109,-0.47016003063185396,0.0
33.8,41.29801591,-0.4782808779415058,0.0
33.9,40.24281341,-0.466527674804926,0.0
34.0,39.36121511,-0.4434563928268773,0.0
34.1,38.36064174,-0.4238418940453613,0.0
34.2,37.14755538,-0.3940539382674814,0.0
34.3,36.16365981,-0.3644660553424067,0.0
34.4,35.32323361,-0.3586716473031832,0.0
34.5,33.90811545,-0.3562050426495915,0.0
34.6,32.38697375,-0.3538043599690724,0.0
34.7,30.16195265,-0.3548375106750996,0.0
34.8,29.13162856,-0.36935373307655833,0.0
34.9,29.93553738,-0.390216509233069,0.0
35.0,31.64118668,-0.3836683622728998,0.0
35.1,33.46221327,-0.37166051663661226,0.0
35.2,33.96453373,-0.37215411723979347,0.0
35.3,33.54203893,-0.3643478457250927,0.0
35.4,33.44661366,-0.3610778786151203,0.0
